id;start_date;end_date;language
1;2020-02-20T18:55:00;2020-02-20T16:45:15;SPANISH
2;2020-02-19T23:45:11;2020-02-20T18:49:36;SPANISH
3;2020-02-20T14:40:30;2020-02-20T01:14:39;FRENCH
4;2020-02-20T05:58:01;2020-02-20T17:29:27;FRENCH
5;2020-02-20T15:28:19;2020-02-20T20:15:18;FRENCH
6;2020-02-20T09:20:40;2020-02-20T21:28:54;FRENCH
7;2020-02-20T11:06:00;2020-02-20T04:56:51;FRENCH
8;2020-02-20T10:02:13;2020-02-20T20:18:21;SPANISH
9;2020-02-20T08:43:22;2020-02-20T05:24:45;SPANISH
10;2020-02-20T16:55:26;2020-02-20T03:29:56;SPANISH
